city,city_code,province,tier_group,tier_label,ntl_growth_rate,gdp_growth_rate,population_growth_rate,growth_intensity,growth_efficiency,coordination_index,edu_count,medical_count,commercial_count,support_index
天津市,"120000000000",天津市,T3,Third-tier Cities,0.5296,0.7839,0.1689,0.494133333333333,4.64120781527531,0.6059,"89","46","634","4.93452742364434"
太原市,"140000000000",山西省,T2,Second-tier Cities,0.6428,1.3941,0.0935,0.710133333333333,14.9101604278075,0.4223,"62","17","173","4.06418726116741"
威海市,"371000000000",山东省,T3,Third-tier Cities,0.1275,0.8006,0.0055,0.3112,,0.5054,"24","5","87","3.16265736952482"
娄底市,"431000000000",湖南省,T3,Third-tier Cities,5.0394,0.9534,0.021,2.0046,45.4,0.1415,"1","1","1","0.693147180559945"
孝感市,"421000000000",湖北省,T3,Third-tier Cities,3.7689,1.482,-0.0511,1.73326666666667,-29.0019569471624,0.1972,"5","3","7","1.75249845734259"
宁德市,"351000000000",福建省,T3,Third-tier Cities,1.9767,2.3611,0.0371,1.4583,63.6415094339623,0.2603,"24","24","114","3.72756125936655"
宁波市,"330000000000",浙江省,T2,Second-tier Cities,0.5379,1.2903,0.075,0.6344,17.204,0.4326,"28","15","488","4.11074901390038"
安庆市,"341000000000",安徽省,T3,Third-tier Cities,4.8786,1.1163,-0.157,1.94596666666667,-7.11019108280255,0.1457,"4","5","16","2.07813690857279"
安康市,"611000000000",陕西省,T3,Third-tier Cities,6.1222,1.4855,-0.0131,2.53153333333333,,0.1222,"4","8","29","2.40261995714416"
安阳市,"411000000000",河南省,T3,Third-tier Cities,1.0931,0.7691,0.0641,0.6421,11.9984399375975,0.4638,"1","0","6","0.87968577653842"
安顺市,"520000000000",贵州省,T3,Third-tier Cities,9.3573,1.9205,0.0724,3.7834,26.5262430939227,0.0823,"2","1","44","1.86614065299946"
定西市,"621000000000",甘肃省,T3,Third-tier Cities,1.9349,1.5522,0.0192,1.16876666666667,,0.3031,"7","18","22","2.71979157892514"
宜宾市,"512000000000",四川省,T3,Third-tier Cities,27.6142,2.1329,0.0026,9.91656666666667,,0.0275,"10","10","65","2.99514842920772"
宜昌市,"421000000000",湖北省,T3,Third-tier Cities,3.5684,1.1548,-0.0301,1.56436666666667,-38.3654485049834,0.1997,"3","10","69","2.67756162532254"
宜春市,"361000000000",江西省,T3,Third-tier Cities,6.1299,1.4664,0.0469,2.54773333333333,31.2665245202559,0.1225,"0","0","3","0.462098120373297"
宝鸡市,"610000000000",陕西省,T3,Third-tier Cities,1.5637,1.1183,-0.0284,0.884533333333334,-39.3767605633803,0.3539,"9","7","64","2.85213796818984"
宣城市,"342000000000",安徽省,T3,Third-tier Cities,3.0428,1.35,-0.0129,1.45996666666667,,0.2401,"2","1","20","1.61209396898383"
宿州市,"341000000000",安徽省,T3,Third-tier Cities,3.1327,1.3746,0.0112,1.50616666666667,,0.2351,"5","4","38","2.3549196759306"
