city,city_code,province,tier_group,tier_label,year,ntl_value,ntl_index,gdp_value,gdp_index,population_value,population_index
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2018",15030,259.32,36150200,186.73,561,102.6
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2019",15699,270.86,38402100,198.37,560,102.41
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2020",18523,319.58,40033700,206.79,0,0
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2021",19818,341.93,45037300,232.64,555,101.5
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2022",20572,354.93,47424200,244.97,551,100.77
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2012",23856,100,134962700,100,287.6,100
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2013",29439,123.4,152342400,112.88,310.5,107.96
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2014",29556,123.89,167953500,124.44,332.2,115.51
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2015",28568,119.75,184368400,136.61,354.99,123.43
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2016",26489,111.04,206857400,153.27,385,133.87
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2017",28653,120.11,232802700,172.49,435,151.25
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2018",29703,124.51,252660800,187.21,455,158.21
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2019",31093,130.34,269923300,200,551,191.59
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2020",31967,134,277590200,205.68,0,0
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2021",35256,147.79,308201000,228.36,631,219.4
深圳市,"440000000000",广东省,T1,Super-tier Cities,"2022",33294,139.56,324807100,240.66,658,228.79
清远市,"442000000000",广东省,T3,Third-tier Cities,"2012",4155,100,10251200,100,405.7,100
清远市,"442000000000",广东省,T3,Third-tier Cities,"2013",6063,145.92,10995400,107.26,409.8,101.01
清远市,"442000000000",广东省,T3,Third-tier Cities,"2014",5697,137.11,11944200,116.52,412.3,101.63
清远市,"442000000000",广东省,T3,Third-tier Cities,"2015",5713,137.5,12662600,123.52,418.51,103.16
