year,city,population,corridor_id,corridor_nm,node_type
"2019",苏州市,"723",HNH,Shanghai-Nanjing-Hangzhou,core
"2020",苏州市,,HNH,Shanghai-Nanjing-Hangzhou,core
"2021",苏州市,"762",HNH,Shanghai-Nanjing-Hangzhou,core
"2022",苏州市,"775",HNH,Shanghai-Nanjing-Hangzhou,core
"2012",杭州市,"700.5",HNH,Shanghai-Nanjing-Hangzhou,core
"2013",杭州市,"706.6",HNH,Shanghai-Nanjing-Hangzhou,core
"2014",杭州市,"715.8",HNH,Shanghai-Nanjing-Hangzhou,core
"2015",杭州市,"723.55",HNH,Shanghai-Nanjing-Hangzhou,core
"2016",杭州市,"736",HNH,Shanghai-Nanjing-Hangzhou,core
"2017",杭州市,"754",HNH,Shanghai-Nanjing-Hangzhou,core
"2018",杭州市,"774",HNH,Shanghai-Nanjing-Hangzhou,core
"2019",杭州市,"795",HNH,Shanghai-Nanjing-Hangzhou,core
"2020",杭州市,,HNH,Shanghai-Nanjing-Hangzhou,core
"2021",杭州市,"835",HNH,Shanghai-Nanjing-Hangzhou,core
"2022",杭州市,"847",HNH,Shanghai-Nanjing-Hangzhou,core
"2012",宁波市,"577.7",HNH,Shanghai-Nanjing-Hangzhou,middle
"2013",宁波市,"580.2",HNH,Shanghai-Nanjing-Hangzhou,middle
"2014",宁波市,"583.8",HNH,Shanghai-Nanjing-Hangzhou,middle
"2015",宁波市,"586.57",HNH,Shanghai-Nanjing-Hangzhou,middle
"2016",宁波市,"591",HNH,Shanghai-Nanjing-Hangzhou,middle
"2017",宁波市,"597",HNH,Shanghai-Nanjing-Hangzhou,middle
"2018",宁波市,"603",HNH,Shanghai-Nanjing-Hangzhou,middle
"2019",宁波市,"608",HNH,Shanghai-Nanjing-Hangzhou,middle
"2020",宁波市,,HNH,Shanghai-Nanjing-Hangzhou,middle
"2021",宁波市,"618",HNH,Shanghai-Nanjing-Hangzhou,middle
"2022",宁波市,"621",HNH,Shanghai-Nanjing-Hangzhou,middle
"2012",嘉兴市,"344.5",HNH,Shanghai-Nanjing-Hangzhou,middle
"2013",嘉兴市,"345.9",HNH,Shanghai-Nanjing-Hangzhou,middle
"2014",嘉兴市,"348.1",HNH,Shanghai-Nanjing-Hangzhou,middle
"2015",嘉兴市,"349.48",HNH,Shanghai-Nanjing-Hangzhou,middle
"2016",嘉兴市,"352",HNH,Shanghai-Nanjing-Hangzhou,middle
"2017",嘉兴市,"356",HNH,Shanghai-Nanjing-Hangzhou,middle
"2018",嘉兴市,"360",HNH,Shanghai-Nanjing-Hangzhou,middle
"2019",嘉兴市,"364",HNH,Shanghai-Nanjing-Hangzhou,middle
"2020",嘉兴市,,HNH,Shanghai-Nanjing-Hangzhou,middle
"2021",嘉兴市,"372",HNH,Shanghai-Nanjing-Hangzhou,middle
"2022",嘉兴市,"375",HNH,Shanghai-Nanjing-Hangzhou,middle
"2012",绍兴市,"440.8",HNH,Shanghai-Nanjing-Hangzhou,middle
"2013",绍兴市,"441.7",HNH,Shanghai-Nanjing-Hangzhou,middle
"2014",绍兴市,"443",HNH,Shanghai-Nanjing-Hangzhou,middle
"2015",绍兴市,"443.11",HNH,Shanghai-Nanjing-Hangzhou,middle
"2016",绍兴市,"445",HNH,Shanghai-Nanjing-Hangzhou,middle
"2017",绍兴市,"446",HNH,Shanghai-Nanjing-Hangzhou,middle
"2018",绍兴市,"447",HNH,Shanghai-Nanjing-Hangzhou,middle
"2019",绍兴市,"448",HNH,Shanghai-Nanjing-Hangzhou,middle
"2020",绍兴市,,HNH,Shanghai-Nanjing-Hangzhou,middle
"2021",绍兴市,"447",HNH,Shanghai-Nanjing-Hangzhou,middle
"2022",绍兴市,"446",HNH,Shanghai-Nanjing-Hangzhou,middle
"2012",郑州市,"1072.5",KG,Beijing-Guangzhou,core
"2013",郑州市,"919.1",KG,Beijing-Guangzhou,core
"2014",郑州市,"937.8",KG,Beijing-Guangzhou,core
"2015",郑州市,"810.49",KG,Beijing-Guangzhou,core
"2016",郑州市,"827",KG,Beijing-Guangzhou,core
"2017",郑州市,"842",KG,Beijing-Guangzhou,core
"2018",郑州市,"864",KG,Beijing-Guangzhou,core
"2019",郑州市,"882",KG,Beijing-Guangzhou,core
"2020",郑州市,,KG,Beijing-Guangzhou,core
"2021",郑州市,"911",KG,Beijing-Guangzhou,core
"2022",郑州市,"922",KG,Beijing-Guangzhou,core
"2012",安阳市,"593",KG,Beijing-Guangzhou,middle
"2013",安阳市,"602",KG,Beijing-Guangzhou,middle
"2014",安阳市,"611.4",KG,Beijing-Guangzhou,middle
"2015",安阳市,"617.45",KG,Beijing-Guangzhou,middle
"2016",安阳市,"626",KG,Beijing-Guangzhou,middle
"2017",安阳市,"624",KG,Beijing-Guangzhou,middle
"2018",安阳市,"627",KG,Beijing-Guangzhou,middle
"2019",安阳市,"629",KG,Beijing-Guangzhou,middle
"2020",安阳市,,KG,Beijing-Guangzhou,middle
"2021",安阳市,"631",KG,Beijing-Guangzhou,middle
"2022",安阳市,"631",KG,Beijing-Guangzhou,middle
"2012",鹤壁市,"163.1",KG,Beijing-Guangzhou,middle
"2013",鹤壁市,"165.9",KG,Beijing-Guangzhou,middle
"2014",鹤壁市,"166.9",KG,Beijing-Guangzhou,middle
"2015",鹤壁市,"168.74",KG,Beijing-Guangzhou,middle
"2016",鹤壁市,"170",KG,Beijing-Guangzhou,middle
"2017",鹤壁市,"170",KG,Beijing-Guangzhou,middle
"2018",鹤壁市,"171",KG,Beijing-Guangzhou,middle
"2019",鹤壁市,"171",KG,Beijing-Guangzhou,middle
"2020",鹤壁市,,KG,Beijing-Guangzhou,middle
"2021",鹤壁市,"171",KG,Beijing-Guangzhou,middle
"2022",鹤壁市,"172",KG,Beijing-Guangzhou,middle
"2012",新乡市,"617",KG,Beijing-Guangzhou,middle
"2013",新乡市,"625",KG,Beijing-Guangzhou,middle
"2014",新乡市,"630.5",KG,Beijing-Guangzhou,middle
"2015",新乡市,"637.44",KG,Beijing-Guangzhou,middle
"2016",新乡市,"646",KG,Beijing-Guangzhou,middle
"2017",新乡市,"647",KG,Beijing-Guangzhou,middle
"2018",新乡市,"656",KG,Beijing-Guangzhou,middle
"2019",新乡市,"664",KG,Beijing-Guangzhou,middle
"2020",新乡市,,KG,Beijing-Guangzhou,middle
"2021",新乡市,"668",KG,Beijing-Guangzhou,middle
"2022",新乡市,"669",KG,Beijing-Guangzhou,middle
"2012",许昌市,"494.2",KG,Beijing-Guangzhou,middle
"2013",许昌市,"499",KG,Beijing-Guangzhou,middle
"2014",许昌市,"499.8",KG,Beijing-Guangzhou,middle
"2015",许昌市,"504.77",KG,Beijing-Guangzhou,middle
"2016",许昌市,"510",KG,Beijing-Guangzhou,middle
"2017",许昌市,"508",KG,Beijing-Guangzhou,middle
"2018",许昌市,"509",KG,Beijing-Guangzhou,middle
"2019",许昌市,"511",KG,Beijing-Guangzhou,middle
"2020",许昌市,,KG,Beijing-Guangzhou,middle
"2021",许昌市,"513",KG,Beijing-Guangzhou,middle
"2022",许昌市,"513",KG,Beijing-Guangzhou,middle
"2012",信阳市,"855.2",KG,Beijing-Guangzhou,middle
"2013",信阳市,"859.8",KG,Beijing-Guangzhou,middle
"2014",信阳市,"890.4",KG,Beijing-Guangzhou,middle
"2015",信阳市,"897.96",KG,Beijing-Guangzhou,middle
"2016",信阳市,"908",KG,Beijing-Guangzhou,middle
"2017",信阳市,"911",KG,Beijing-Guangzhou,middle
"2018",信阳市,"912",KG,Beijing-Guangzhou,middle
"2019",信阳市,"912",KG,Beijing-Guangzhou,middle
"2020",信阳市,,KG,Beijing-Guangzhou,middle
"2021",信阳市,"910",KG,Beijing-Guangzhou,middle
"2022",信阳市,"906",KG,Beijing-Guangzhou,middle
"2012",驻马店市,"899.2",KG,Beijing-Guangzhou,middle
